,date,agency,location,description
2,3-19-2022 5:01 PM,Delaware State Police,1400 BLOCK NEWPORT PIKE,LARCENY/SHOPLIFTING
3,3-19-2022 3:26 PM,Wilmington Police,200 BLOCK 30TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
4,3-19-2022 2:29 PM,Wilmington Police,600 BLOCK LINCOLN ST,DAMAGE/PRIVATE PROPERTY
5,3-19-2022 1:58 PM,Wilmington Police,1400 BLOCK LANCASTER AVE,DAMAGE/PRIVATE PROPERTY
6,3-19-2022 12:47 PM,Wilmington Police,700 BLOCK BAYARD AVE,DAMAGE/PRIVATE PROPERTY
7,3-19-2022 12:12 PM,Wilmington Police,200 BLOCK GRAY AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
8,3-19-2022 12:06 PM,Wilmington Police,1000 BLOCK DELAWARE AVE,LARCENY/SHOPLIFTING
9,3-19-2022 11:11 AM,Wilmington Police,2200 BLOCK PINE ST,VEHICLE THEFT
10,3-19-2022 8:42 AM,Wilmington Police,800 BLOCK DELAWARE AVE,DAMAGE/PRIVATE PROPERTY
11,3-19-2022 7:12 AM,Wilmington Police,200 BLOCK MARKET ST,DAMAGE/PRIVATE PROPERTY
12,3-19-2022 6:43 AM,Wilmington Police,1700 BLOCK SCOTT ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,3-19-2022 3:54 AM,Wilmington Police,900 BLOCK KIRKWOOD ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
14,3-19-2022 2:53 AM,Wilmington Police,2300 BLOCK PINE ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
0,3-19-2022 2:38 AM,Wilmington Police,ON PINE STREET 72.90 FEET SOUTH WEST FROM E. TWENTY-THIRD,DRIVING UNDER THE INFLUENCE/LIQUOR
1,3-19-2022 1:50 AM,Wilmington Police,100 BLOCK S MADISON ST,DRIVING UNDER THE INFLUENCE/LIQUOR
2,3-19-2022 1:31 AM,Wilmington Police,700 BLOCK BROOM ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
3,3-19-2022 1:05 AM,Wilmington Police,600 BLOCK NW 5TH ST,SIMPLE ASSAULT/POLICE OFFICER/OTHER ASSAULTS/NON-AGGRAVATED
4,3-19-2022 12:53 AM,Delaware State Police,300 BLOCK EDGEMOOR RD,VEHICLE THEFT
5,3-18-2022 8:15 PM,Wilmington Police,000 BLOCK S TROLLEY SQ,LARCENY/SHOPLIFTING
6,3-18-2022 5:58 PM,Wilmington Police,1200 BLOCK MARKET ST,LARCENY/FROM BUILDING
7,3-18-2022 5:51 PM,Wilmington Police,1300 BLOCK READ ST,THEFT/FALSE PRETENSE OR PROMISE
8,3-18-2022 4:22 PM,Delaware State Police,4300 BLOCK SE LANCASTER PIKE,POSSESSION OF WEAPON
9,3-18-2022 4:08 PM,Wilmington Police,800 BLOCK NE N. FRENCH ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
10,3-18-2022 1:00 PM,Wilmington Police,000 BLOCK S 1OTH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,3-18-2022 12:12 PM,Wilmington Police,2600 BLOCK N PINE ST,DAMAGE/PRIVATE PROPERTY
12,3-18-2022 9:47 AM,Wilmington Police,900 BLOCK S VANDEVER AVE,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
13,3-18-2022 9:31 AM,Delaware State Police,300 BLOCK SW MARYLAND AVE,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
14,3-18-2022 8:58 AM,Wilmington Police,1800 BLOCK 15TH ST,DAMAGE/PRIVATE PROPERTY
0,3-18-2022 8:47 AM,Wilmington Police,200 BLOCK SW DELAMORE PL,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
1,3-18-2022 8:31 AM,Wilmington Police,000 BLOCK N 9TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
2,3-18-2022 8:11 AM,Wilmington Police,1000 BLOCK CHESTNUT ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
3,3-18-2022 7:19 AM,Wilmington Police,1300 BLOCK S CHESTNUT ST,BURGLARY/FORCED ENTRY/FREE TEXT NONRESIDENCE
4,3-18-2022 7:06 AM,Wilmington Police,3300 BLOCK S JEFFERSON ST,DAMAGE/PRIVATE PROPERTY
5,3-18-2022 6:30 AM,Delaware State Police,4000 BLOCK NE DUPONT HWY,LARCENY/FROM BUILDING
6,3-17-2022 6:22 PM,Delaware State Police,1400 BLOCK NEWPORT PIKE,LARCENY/SHOPLIFTING
7,3-17-2022 4:23 PM,Delaware State Police,2200 BLOCK HESSLER BLVD,AGGRAVATED ASSAULT/NON-FAMILY KNIFE/CUTTING INSTRUMENT
8,3-17-2022 3:22 PM,Wilmington Police,1700 BLOCK S LANCASTER AVE,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
9,3-17-2022 3:00 PM,Wilmington Police,700 BLOCK 34TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
10,3-17-2022 2:18 PM,Delaware State Police,900 BLOCK S CENTERVILLE RD,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
11,3-17-2022 2:01 PM,Wilmington Police,400 BLOCK JUSTISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,3-17-2022 12:47 PM,Wilmington Police,700 BLOCK TOWNSEND ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,3-17-2022 12:32 PM,Wilmington Police,300 BLOCK N 5TH ST,DAMAGE/PRIVATE PROPERTY
14,3-17-2022 12:15 PM,Wilmington Police,500 BLOCK SW DELAMORE PL,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
0,3-17-2022 11:12 AM,Wilmington Police,500 BLOCK 14TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
1,3-17-2022 11:08 AM,Wilmington Police,1200 BLOCK N. WEST ST,IMPERSONATION
2,3-17-2022 10:56 AM,Wilmington Police,2200 BLOCK MARKET ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
3,3-17-2022 10:49 AM,Wilmington Police,1200 BLOCK MAPLE ST,LARCENY/FROM BUILDING
4,3-17-2022 10:31 AM,Wilmington Police,1400 BLOCK DUPONT ST,LARCENY/SHOPLIFTING
5,3-17-2022 8:30 AM,Wilmington Police,200 BLOCK WEBB ST,IMPERSONATION
6,3-16-2022 10:22 PM,Delaware State Police,100 BLOCK SE CENTERVILLE RD,LARCENY/SHOPLIFTING
7,3-16-2022 8:26 PM,Delaware State Police,1200 BLOCK NW CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
8,3-16-2022 7:40 PM,Wilmington Police,1100 BLOCK N TODDS LA,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
9,3-16-2022 7:07 PM,Wilmington Police,1700 BLOCK N FOURTH ST,LARCENY/FROM BUILDING
10,3-16-2022 5:49 PM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
11,3-16-2022 5:30 PM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
12,3-16-2022 4:30 PM,Wilmington Police,400 BLOCK 7TH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
13,3-16-2022 4:14 PM,Wilmington Police,500 BLOCK N 34TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
14,3-16-2022 3:29 PM,Wilmington Police,1400 BLOCK MARSH RD,DAMAGE/PRIVATE PROPERTY
0,3-16-2022 3:25 PM,Wilmington Police,600 BLOCK VAN BUREN ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
1,3-16-2022 2:02 PM,Wilmington Police,500 BLOCK N 6TH ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
2,3-16-2022 12:27 PM,Wilmington Police,300 BLOCK UNION ST,ROBBERY/CARJACKING/OTHER WEAPON CONVENIENCE STORE
3,3-16-2022 11:48 AM,Delaware State Police,1900 BLOCK E. NEWPORT PIKE,LARCENY/FROM BUILDING
4,3-16-2022 11:15 AM,Wilmington Police,1100 BLOCK NW LINDEN ST,THEFT/BUS/TRUCK LOCALLY RECOVERED
5,3-16-2022 10:26 AM,Wilmington Police,300 BLOCK SW JACKSON ST,LARCENY/FROM ALL OTHER YARDS
6,3-16-2022 9:24 AM,Wilmington Police,100 BLOCK N 10TH ST,ROBBERY/CARJACKING/GUN BANK
7,3-16-2022 3:35 AM,Wilmington Police,100 BLOCK 30TH ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
8,3-16-2022 3:19 AM,Wilmington Police,1100 BLOCK S LINDEN ST,DAMAGE/PRIVATE PROPERTY
9,3-16-2022 1:37 AM,Wilmington Police,ON E. NEWPORT PIKE SR4 AT THE INTERSECTION OF E. NEWPORT PIK,DRIVING UNDER THE INFLUENCE/LIQUOR
10,3-16-2022 12:33 AM,Wilmington Police,600 BLOCK S MARKET ST,LARCENY/FROM BUILDING
11,3-15-2022 11:33 PM,Wilmington Police,1200 BLOCK S MARYLAND AVE,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
12,3-15-2022 9:58 PM,Wilmington Police,200 BLOCK 26TH ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
13,3-15-2022 9:15 PM,Wilmington Police,600 BLOCK FOURTH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
14,3-15-2022 8:48 PM,Wilmington Police,600 BLOCK HARRISON ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
0,3-15-2022 7:36 PM,Wilmington Police,700 BLOCK 30TH ST,DAMAGE/PRIVATE PROPERTY
1,3-15-2022 6:39 PM,Wilmington Police,700 BLOCK 7TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
2,3-15-2022 4:41 PM,Delaware State Police,4400 BLOCK GOV PRINTZ BLVD,LARCENY/BICYCLES
3,3-15-2022 3:42 PM,Wilmington Police,000 BLOCK SE THIRTY EIGHTH ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
4,3-15-2022 2:01 PM,Delaware State Police,1900 BLOCK MARYLAND RD,LARCENY/FROM BUILDING
5,3-15-2022 11:22 AM,Delaware State Police,1200 BLOCK CENTERVILLE RD,VEHICLE THEFT
6,3-15-2022 10:55 AM,Wilmington Police,1500 BLOCK N 4TH ST,IMPERSONATION
7,3-15-2022 10:55 AM,Wilmington Police,2100 BLOCK THATCHER ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
8,3-15-2022 7:34 AM,Wilmington Police,500 BLOCK S 5TH ST,DAMAGE/BUSINESS PROPERTY
9,3-15-2022 6:54 AM,Wilmington Police,000 BLOCK CORBIN CT,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
10,3-15-2022 6:53 AM,Wilmington Police,000 BLOCK 2ND ST,DAMAGE/PRIVATE PROPERTY
11,3-15-2022 3:19 AM,Wilmington Police,3000 BLOCK MARKET ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
0,3-29-2022 10:34 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/SHOPLIFTING
1,3-29-2022 8:39 PM,Wilmington Police,2000 BLOCK 9TH ST,DAMAGE/PUBLIC PROPERTY
2,3-29-2022 8:16 PM,Wilmington Police,2200 BLOCK FAIRFIELD PL,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
3,3-29-2022 7:08 PM,Wilmington Police,2100 BLOCK LAMOTTE ST,DAMAGE/PRIVATE PROPERTY
4,3-29-2022 5:38 PM,Delaware State Police,1300 BLOCK SE NEWPORT GAP PIKE,DAMAGE/PRIVATE PROPERTY
5,3-29-2022 5:34 PM,Wilmington Police,2400 BLOCK MADISON ST,LARCENY/FROM BUILDING
6,3-29-2022 5:26 PM,Delaware State Police,3200 BLOCK E KIRKWOOD HWY,LARCENY/SHOPLIFTING
7,3-29-2022 3:58 PM,Wilmington Police,500 BLOCK W GARASCHES LA,THEFT OF SERVICES FROM ALL OTHER YARDS
8,3-29-2022 3:00 PM,Delaware State Police,000 BLOCK MONTCHANIN RD,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
9,3-29-2022 12:46 PM,Wilmington Police,200 BLOCK S HARRISON ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
10,3-29-2022 12:04 PM,Wilmington Police,800 BLOCK MARKET ST,LARCENY/FROM BUILDING
11,3-29-2022 11:16 AM,Wilmington Police,1000 BLOCK N KIRK AVE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
12,3-29-2022 11:15 AM,Wilmington Police,100 BLOCK POPLAR ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
13,3-29-2022 10:59 AM,Wilmington Police,200 BLOCK 30TH ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
14,3-28-2022 10:10 PM,Delaware State Police,200 BLOCK N DUPONT RD,DAMAGE/PRIVATE PROPERTY
0,3-28-2022 8:00 PM,Wilmington Police,700 BLOCK 34TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
1,3-28-2022 5:57 PM,Wilmington Police,1800 BLOCK S MAPLE ST,LARCENY/FROM ALL OTHER YARDS
2,3-28-2022 5:51 PM,Wilmington Police,800 BLOCK NW 18TH ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
3,3-28-2022 5:25 PM,Wilmington Police,2900 BLOCK N JEFFERSON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
4,3-28-2022 3:15 PM,Wilmington Police,700 BLOCK PINE ST,BURGLARY/FORCED ENTRY/RESIDENCE
5,3-28-2022 3:10 PM,Wilmington Police,2800 BLOCK N. MONROE ST,DAMAGE/PRIVATE PROPERTY
6,3-28-2022 1:25 PM,Wilmington Police,300 BLOCK 29TH ST,FRAUD/SWINDLE/FLIMFLAM
7,3-28-2022 1:19 PM,Wilmington Police,400 BLOCK NE BROOM ST,LARCENY/FROM ALL OTHER YARDS
8,3-28-2022 12:30 PM,Wilmington Police,500 BLOCK BROOM ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
9,3-28-2022 12:25 PM,Wilmington Police,1600 BLOCK JESSUP ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
10,3-28-2022 12:15 PM,Wilmington Police,400 BLOCK 6TH ST,DAMAGE/PRIVATE PROPERTY
11,3-28-2022 11:54 AM,Delaware State Police,900 BLOCK SW HEALD ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
12,3-28-2022 10:57 AM,Wilmington Police,600 BLOCK 6TH ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
13,3-28-2022 9:33 AM,Wilmington Police,2200 BLOCK PINE ST,BURGLARY/FORCED ENTRY/RESIDENCE
14,3-28-2022 9:16 AM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
0,3-28-2022 8:00 AM,Wilmington Police,800 BLOCK WEST ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
1,3-28-2022 7:15 AM,Wilmington Police,1600 BLOCK 8TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
2,3-28-2022 7:11 AM,Wilmington Police,1800 BLOCK S 7TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
3,3-28-2022 6:58 AM,Wilmington Police,700 BLOCK N 7TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
4,3-28-2022 4:50 AM,Wilmington Police,500 BLOCK NW 14TH ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
5,3-28-2022 3:30 AM,Wilmington Police,100 BLOCK N 10TH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
6,3-27-2022 9:13 PM,Wilmington Police,400 BLOCK N FRANKLIN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
7,3-27-2022 9:10 PM,Wilmington Police,1200 BLOCK WASHINGTON ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
8,3-27-2022 6:08 PM,Wilmington Police,3000 BLOCK LANCASTER AVE,DAMAGE/BUSINESS PROPERTY
9,3-27-2022 5:51 PM,Wilmington Police,600 BLOCK 6TH ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
10,3-27-2022 5:32 PM,Wilmington Police,500 BLOCK S 34TH ST,DAMAGE/PRIVATE PROPERTY
11,3-27-2022 4:50 PM,Wilmington Police,1400 BLOCK S 2ND ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,3-27-2022 4:50 PM,Wilmington Police,600 BLOCK JUSTISON ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
13,3-27-2022 1:33 PM,Wilmington Police,000 BLOCK TROLLEY SQ,LARCENY/SHOPLIFTING
14,3-27-2022 1:10 PM,Delaware State Police,3000 BLOCK S NEW CASTLE AVE,LARCENY/SHOPLIFTING
0,3-27-2022 12:13 PM,Delaware State Police,1600 BLOCK NEWPORT PIKE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
1,3-27-2022 11:57 AM,Wilmington Police,1400 BLOCK N DUPONT ST,LARCENY/SHOPLIFTING
2,3-27-2022 10:25 AM,Wilmington Police,1400 BLOCK N DUPONT ST,LARCENY/SHOPLIFTING
3,3-27-2022 7:18 AM,Wilmington Police,1800 BLOCK 2ND ST,LARCENY/FROM VEHICLE/NOT ATTACHED
4,3-27-2022 6:22 AM,Wilmington Police,800 BLOCK 5TH ST,LARCENY/FROM BUILDING
5,3-26-2022 8:25 PM,Wilmington Police,3500 BLOCK N MARKET ST,LARCENY/SHOPLIFTING
6,3-26-2022 7:53 PM,Wilmington Police,1900 BLOCK N MARKET ST,LARCENY/FROM BUILDING
7,3-26-2022 6:31 PM,Wilmington Police,1300 BLOCK UNION ST,LARCENY/SHOPLIFTING
8,3-26-2022 6:09 PM,Delaware State Police,3300 BLOCK LANCASTER PIKE,LARCENY/SHOPLIFTING
9,3-26-2022 2:53 PM,Wilmington Police,2500 BLOCK LAMOTTE ST,LARCENY/FROM ALL OTHER YARDS
10,3-26-2022 2:49 PM,Wilmington Police,200 BLOCK N BROOM ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
11,3-26-2022 2:45 PM,Wilmington Police,500 BLOCK JACKSON ST,LARCENY/FROM ALL OTHER YARDS
12,3-26-2022 11:55 AM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
13,3-26-2022 10:58 AM,Wilmington Police,300 BLOCK HAWTHORNE DR,FRAUD/FREE TEXT
14,3-26-2022 10:22 AM,Wilmington Police,800 BLOCK S MARKET ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
0,3-26-2022 10:04 AM,Wilmington Police,700 BLOCK N CLAYTON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,3-26-2022 9:27 AM,Wilmington Police,2000 BLOCK N 9TH ST,DAMAGE/BUSINESS PROPERTY
2,3-26-2022 9:11 AM,Wilmington Police,1700 BLOCK S LANCASTER AVE,LARCENY/SHOPLIFTING
3,3-26-2022 8:15 AM,Wilmington Police,100 BLOCK S 5TH AVE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
4,3-26-2022 7:25 AM,Wilmington Police,300 BLOCK 35TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,3-26-2022 2:45 AM,Wilmington Police,300 BLOCK 7TH ST,DAMAGE/PRIVATE PROPERTY
6,3-26-2022 1:32 AM,Delaware State Police,4000 BLOCK NE DUPONT PKY,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
7,3-26-2022 12:13 AM,Wilmington Police,700 BLOCK S 7TH ST,LARCENY/FROM BUILDING
8,3-25-2022 9:02 PM,Delaware State Police,4000 BLOCK DUPONT HWY,LARCENY/FROM ALL OTHER YARDS
9,3-25-2022 8:26 PM,Wilmington Police,600 BLOCK N TATNALL ST,CARRYING PROHIBITED
10,3-25-2022 8:12 PM,Wilmington Police,1100 BLOCK N PENNSYLVANIA AVE,DAMAGE/PRIVATE PROPERTY
11,3-25-2022 8:07 PM,Wilmington Police,700 BLOCK S 4TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
12,3-25-2022 7:30 PM,Wilmington Police,1300 BLOCK UNION ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
13,3-25-2022 6:42 PM,Wilmington Police,800 BLOCK N 4TH ST,DISTURBING THE PEACE/PUBLIC NUISANCE
14,3-25-2022 6:13 PM,Delaware State Police,3600 BLOCK SW MILLER RD,THEFT/FALSE PRETENSE OR PROMISE
0,3-25-2022 4:42 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
1,3-25-2022 4:33 PM,Wilmington Police,100 BLOCK N JUSTISON ST,DAMAGE/PRIVATE PROPERTY
2,3-25-2022 2:12 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,LARCENY/SHOPLIFTING
3,3-25-2022 1:01 PM,Wilmington Police,900 BLOCK S 17TH ST,CARRYING PROHIBITED
4,3-25-2022 1:00 PM,Wilmington Police,500 BLOCK MARKET ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,3-25-2022 12:23 PM,Wilmington Police,1000 BLOCK S DELAWARE AVE,LARCENY/SHOPLIFTING
6,3-25-2022 12:17 PM,Wilmington Police,3500 BLOCK S MARKET ST,LARCENY/SHOPLIFTING
7,3-25-2022 12:07 PM,Wilmington Police,1200 BLOCK DUPONT ST,BURGLARY/FORCED ENTRY/FREE TEXT NONRESIDENCE
8,3-25-2022 12:03 PM,Wilmington Police,700 BLOCK MARYLAND AVE,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
9,3-25-2022 11:30 AM,Wilmington Police,300 BLOCK WALNUT ST,DAMAGE/PRIVATE PROPERTY
10,3-25-2022 10:30 AM,Wilmington Police,2500 BLOCK FRANKLIN ST,LARCENY/FROM BUILDING
11,3-25-2022 10:17 AM,Wilmington Police,1000 BLOCK PINE ST,LARCENY/FROM BUILDING
12,3-25-2022 10:11 AM,Wilmington Police,1400 BLOCK S MARYLAND AVE,BURGLARY/NO FORCED ENTRY/RESIDENCE
13,3-25-2022 9:45 AM,Wilmington Police,1400 BLOCK SHALLCROSS AVE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
14,3-25-2022 7:17 AM,Wilmington Police,200 BLOCK CONNELL ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
0,3-24-2022 8:57 PM,Wilmington Police,000 BLOCK W 3RD ST,VEHICLE THEFT
1,3-24-2022 8:27 PM,Delaware State Police,1700 BLOCK FAULKLAND RD,LARCENY/FROM BUILDING
2,3-24-2022 6:30 PM,Wilmington Police,500 BLOCK FRANKLIN ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
3,3-24-2022 5:09 PM,Wilmington Police,700 BLOCK VANDEVER AVE,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
4,3-24-2022 1:59 PM,Wilmington Police,300 BLOCK CONNELL ST,DAMAGE/PRIVATE PROPERTY
5,3-24-2022 1:52 PM,Wilmington Police,800 BLOCK MARKET ST,LARCENY/SHOPLIFTING
6,3-24-2022 1:34 PM,Wilmington Police,000 BLOCK NINTH AVE,DAMAGE/PRIVATE PROPERTY
7,3-24-2022 1:20 PM,Wilmington Police,2500 BLOCK LOCUST ST,DAMAGE/PRIVATE PROPERTY
8,3-24-2022 1:04 PM,Wilmington Police,200 BLOCK SCOTT ST,CARRYING PROHIBITED
9,3-24-2022 12:33 PM,Wilmington Police,700 BLOCK CHURCH ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
10,3-24-2022 12:19 PM,Wilmington Police,1600 BLOCK 2ND ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
11,3-24-2022 10:59 AM,Wilmington Police,400 BLOCK N 10TH ST,DAMAGE/PRIVATE PROPERTY
12,3-24-2022 10:27 AM,Wilmington Police,500 BLOCK N 8TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
13,3-24-2022 10:22 AM,Wilmington Police,700 BLOCK N 6TH ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
14,3-24-2022 8:38 AM,Wilmington Police,1800 BLOCK 5TH ST,IMPERSONATION
0,3-23-2022 10:57 PM,Wilmington Police,200 BLOCK 22ND ST,DAMAGE/PRIVATE PROPERTY
1,3-23-2022 9:09 PM,Wilmington Police,600 BLOCK SW FRANKLIN ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
2,3-23-2022 6:23 PM,Wilmington Police,100 BLOCK NW 27TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,3-23-2022 4:54 PM,Wilmington Police,2800 BLOCK VAN BUREN ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
4,3-23-2022 2:38 PM,Wilmington Police,400 BLOCK S 8TH ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
5,3-23-2022 12:51 PM,Wilmington Police,500 BLOCK CLAYTON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
6,3-23-2022 9:26 AM,Wilmington Police,800 BLOCK N MARKET ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
7,3-23-2022 9:00 AM,Wilmington Police,2400 BLOCK BOWERS ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
8,3-23-2022 8:37 AM,Delaware State Police,3100 BLOCK NW KENNETT PIKE,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
9,3-23-2022 8:35 AM,Wilmington Police,200 BLOCK S WASHINGTON ST,THEFT/FALSE PRETENSE OR PROMISE
10,3-23-2022 8:03 AM,Delaware State Police,300 BLOCK SE BELLEFONTE AVE,FRAUD/ILLEGAL USE OF CREDIT CARDS
11,3-23-2022 4:52 AM,Wilmington Police,500 BLOCK TOWNSEND CT,DAMAGE/PRIVATE PROPERTY
12,3-23-2022 2:49 AM,Wilmington Police,2300 BLOCK PINE ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
13,3-22-2022 11:05 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,LARCENY/SHOPLIFTING
14,3-22-2022 10:50 PM,Wilmington Police,3000 BLOCK MARKET ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
0,3-22-2022 9:01 PM,Wilmington Police,300 BLOCK N HEALD ST,HOMICIDE - WILLFUL KILL - GUN
1,3-22-2022 8:46 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
2,3-22-2022 5:52 PM,Wilmington Police,2300 BLOCK S MARKET ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
